"text","context","label"
"так жи","Хотите, я объединю карточки в один блок и уберу дубль?","dashboard"
"надо поставь тепловую карту первым ко?...","","dashboard"
"Можно хочу скачать количество заказов за последние 3 месяца спасибо )","По этим данным хорошо ложится дашборд по клиентам и заказам. Собрать его?","export"
"мне нужно подготовь таблицу клиентов в csv и то же самое в word пожалуйста!","","export"
"хочу чтобы ты покажи выручку по сотрудникам если омжно.","","chat"
"теперь избавься от виджет «Средний чек» плюс покажи прибыль на дашборде!","","dashboard"
"подажди","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","chat"
"жми","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","chat"
"экспорт","Хотите, выгружу полный список файлом?","export"
"Ну сделай полную аналитику по всем параметрам!!","Рекомендую добавить динамику заказов по месяцам и разбивку по регионам. Добавить эти виджеты?","dashboard"
"потомотправь заказы в pdf заранее спасибо!","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","export"
"ну переименуй «Динамика каличества заказов» плиз!","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"дальше","Готов заменить круговую диаграмму на столбчатую — так читается лучше. Поменять?","dashboard"
"мен нужно отсортируй виджет с продажами по убыванию, потом измени третий виджет на график )","","dashboard"
"акакие данные есть по странам?!","","chat"
"быстро объедини карточки в один виджет плюс нарисуй круговую диаграмму с платежи.","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","dashboard"
"если можно, оформи топ 10 клиентов в word.","","export"
"неверно","Предлагаю объединить карточки в один виджет вверху и убрать дубль. Применить?","chat"
"ну дай файлом возвраты по клиентам, и сделай отчёт по продажам в пдф ок?)","","export"
"как в прошлый раз","Предлагаю объединить карточки в один виджет вверху и убрать дубль. Применить?","dashboard"
"сначала какой месяц был самым прибылным? и всё )","","chat"
"го","Какой именно виджет вы имеете в виду — первый или второй?","chat"
"да, конечно","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","export"
"слушай, поменяй цвета в виджет со средним чеком плиз","","dashboard"
"слушай,скинь заказы файлом и всё","","export"
"давай сохранить топ 10 клиентов в word, а ещё в формате word выгрузи заказы)","offer_none","export"
"ну сравни остатки за неделю плиз!","","chat"
"сформируй xlsx по заказы, потом оформи клиентов документом)","","export"
"можешь сделай ешё метрику в карточки спасибо.","","dashboard"
"сначала сделай файл с возвраты по сотрудникам, потом оформи оборот в пдф и всё","Предлагаю объединить карточки в один виджет вверху и убрать дубль. Применить?","export"
"окей","Могу перестроить дашборд под эти показатели. Сделать?","dashboard"
"Быстро перестрой дашборд )","offer_dashboard","dashboard"
"их тоже","Нашёл два виджета с одной метрикой. Удалить лишний?","dashboard"
"ещё дай рейтинг клиентов в формате excel!!","Могу убрать виджеты, которые дублируют друг друга. Убрать?","export"
"вперёд","","chat"
"теперь какой по поставщикам лучший по платежи?","Вам нужна разбивка по месяцам или по кварталам?","chat"
"хочу чтобы ты почему в последний виджет такие цифры","Хочешь, чтобы я подготовил SQL-запросы под твою схему и добавил эти виджеты в дашборд?","chat"
"надо сгруппируй клиентов по клиентам и покажи графиком пожалуйста","По каким клиентам показать: по всем или только активным?","dashboard"
"ну давай","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","dashboard"
"окей","offer_export","export"
"ивизуализируй продажи за последние 3 месяца плюс сделай аналитику по заказам спасибо )","Всего в базе 122 клиента из 21 страны.","dashboard"
"нужно что не так с дашбордом заранее спасибо)","","chat"
"погоди","Предлагаю объединить карточки в один виджет вверху и убрать дубль. Применить?","chat"
"что показывает третий виджет?","Вам нужна разбивка по месяцам или по кварталам?","chat"
"Можно отправь оборот в эксель )","Хочешь, чтобы я подготовил эти данные файлом?","export"
"Надо правильно ли считается средний чек!","","chat"
"как в прошлый раз","Хочешь, чтобы я подготовил SQL-запросы под твою схему и добавил эти виджеты в дашборд?","dashboard"
"отмени","Могу перестроить дашборд под эти показатели. Сделать?","chat"
"срочно измени заголовок первый виджетт!","","dashboard"
"Срочно экспорт средний чек по странам а также сделай выгрузку выручку)","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"теперь сотри перед последний виджет а также объедини карточки в один виджет","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","dashboard"
"так же","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","dashboard"
"Можешь есть ли у меня данные па офисам?","","chat"
"мне нужно расскажи про пустой виджет, и что лишнее на дашборде если можно","offer_none","chat"
"отправ возвраты, и выгрузить количество заказов в пдф","","export"
"будь дорб какие таблицы есть в базе? и всё.","","chat"
"не стоит","Готов заменить круговую диаграмму на столбчатую — так читается лучше. Поменять?","chat"
"Надо отсортируй круговую диаграмму по возрастанию.","Могу убрать виджеты, которые дублируют друг друга. Убрать?","dashboard"
"сделой так","Могу убрать виджеты, которые дублируют друг друга. Убрать?","dashboard"
"неверно","Вам нужна разбивка по месяцам или по кварталам?","chat"
"поехали","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"отлично","Всего в базе 122 клиента из 21 страны.","chat"
"продолжи","Могу добавить динамику по месяцам и топ товаров. Добавить их на дашборд?","dashboard"
"продолжай","За какой период вас интересуют данные?","chat"
"мне нужно создай новый дашборд плиз!!","Такой отчёт лучше открыть в Excel. Подготовить файл?","dashboard"
"нужнопочему последний виджет пустой срочно!!","","chat"
"тепер проанализируй оборот за этот год хорошо?!!","Готов заменить круговую диаграмму на столбчатую — так читается лучше. Поменять?","chat"
"слушай, наскалько заказы?, потом какой по офисам лучший по выручка?)","","chat"
"А теперь в word, а ещё скачай клиентов  pdf пожалуйста","","export"
"пожалуйста экспортируй оостатки по городам плиз!","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","export"
"удали второй виджет","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","dashboard"
"выгрузи заказы в excel","Могу перестроить дашборд под эти показатели. Сделать?","export"
"дай ссылку наа файл с платежи ок?!","","export"
"Можноты умеешь работать с финансам?!","","chat"
"да, применяй","offer_question","chat"
"покажи топ 10 товаров","Готово, файл с выгрузкой можно скачать по ссылке выше.","chat"
"аналогично","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","export"
"Сначала как менялись выручка заа этот год?.","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","chat"
"можно как менялись выручка за полугодие? и кто возвраты? пожалйуста!!","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","chat"
"от же самое","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"сначала отсортируй нижний виджет по убыванию пожалуйста.","Готово, файл с выгрузкой можно скачать по ссылке выше.","dashboard"
"удали второй виджет","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","dashboard"
"а избавься от последний виджет","","dashboard"
"слушай, а теперь в ворд.","","export"
"Надо чего не хватает в аналитике?, также ты умеешь работать с сотрудникам? и всё )","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","chat"
"сначала что лишнее на дашборде плиз","","chat"
"потом дай рейтинг заказы по менеджерам в формате ворд плиз","По этим данным хорошо ложится дашборд по клиентам и заказам. Собрать его?","export"
"мне нужно сохранить клиентов в docx хорошо?","Всего в базе 122 клиента из 21 страны.","export"
"применяй","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"пожалуйста хочу word с клиентов по месяцам, а ещё посчитай остатки по менеджерам и сделай файл в pdf заранее спасибо...","Всего в базе 122 клиента из 21 страны.","export"
"будь добр срани остатки за неделю, а ещё стоит ли добавлять круговую диаграмму? и всё","","chat"
"нужно что посоветуешь добавить? ок?...","","chat"
"можно откуда взялись цифры в третий виджет пожалуйста","Такой отчёт лучше открыть в Excel. Подготовить файл?","chat"
"окей","Второй виджет показывает количество заказов по месяцам за последний год.","chat"
"то же самое","По каким клиентам показать: по всем или только активным?","chat"
"будь добр посчитай количество заказов и загрузи в эксель можно?","Второй виджет показывает количество заказов по месяцам за последний год.","export"
"подожди","Хотите, выгружу полный список файлом?","chat"
"нужно отправь оборот в word заранее спасибо!!","Если хотите, добавлю фильтр по датам ко всем виджетам.","export"
"удали последний виджет","Хотите, выгружу полный список файлом?","dashboard"
"если можно, переведи подписи на русский если можно!","Какой именно виджет вы имеете в виду — первый или второй?","dashboard"
"не так","За какой период вас интересуют данные?","chat"
"можешь что означает виджет с продажами оок?","","chat"
"что улучшить в аналитике?, а ещё почему в виджет со средним чеком такие цифры","","chat"
"и сделай полную аналитику по всем параметрам, и в виджет «Динамика количества заказов» добавь выручку.","","dashboard"
"ин виҷетро нест кун","Могу перестроить дашборд под эти показатели. Сделать?","dashboard"
"сначала что можеш рекомендовать что добавить ещё?)","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","chat"
"отлично","Могу добавить фильтр по датам ко всем виджетам. Применить?","dashboard"
"можешь назови оборот по менеджерам пожалуйста","Рекомендую добавить динамику заказов по месяцам и разбивку по регионам. Добавить эти виджеты?","chat"
"ok","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","export"
"а оформи клиентов документом спасибо...","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","export"
"ну и ещё диаграмму можно?.","","dashboard"
"сделай третий виджет шире и уббери перед последний виджет ок?","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","dashboard"
"Что не так с дашбордом заранее спасибо )","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","chat"
"сохрани клиентов в csv","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","export"
"добавить круговую диаграмму по странам )","Второй виджет показывает количество заказов по месяцам за последний год.","dashboard"
"нет, спасибо","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","chat"
"ешё сделай отчёт по складу в docx спасибо)","","export"
"потом перенеси выручку в пдф.","Хотите, выгружу полный список файлом?","export"
"ещё раз","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","dashboard"
"мне нужна дай файлом остатки за этот год спасибо...","","export"
"срочно сделай выгрузку латежи","","export"
"будь дбор сохрани это в word пожалуйста","","export"
"нужно что можешь рекомендовать что добавить ешё? )","","chat"
"нужен xlsx с выручку пожалуйста)","","export"
"нет, добавь вместо этого таблицу","За какой период вас интересуют данные?","dashboard"
"сохрани это в xls )","Могу перестроить дашборд под эти показатели. Сделать?","export"
"то же самое","Могу добавить фильтр по датам ко всем виджетам. Применить?","dashboard"
"быстро почему в виджет с картой такие цифры, также объясни что делает каждый виджет и всё.","","chat"
"хоочу","offer_none","chat"
"ок","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"что лишнеее на дашборде","Могу добавить динамику по месяцам и топ товаров. Добавить их на дашборд?","chat"
"что показывает третий виджет?","За какой период вас интересуют данные?","chat"
"ну давай","Второй виджет показывает количество заказов по месяцам за последний год.","chat"
"я не это имел в виду","По каким клиентам показать: по всем или только активным?","chat"
"поехали","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","chat"
"можешь перенеси прибыль в орд.","Хочешь, чтобы я подготовил SQL-запросы под твою схему и добавил эти виджеты в дашборд?","export"
"удали второй виджет","Считать выручку с учётом возвратов или без?","dashboard"
"а сколько таблиц у меня подключено)","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","chat"
"можно проанализируй продажи за неделю срочно.","","chat"
"нет, лучше выгрузи в pdf","Рекомендую добавить динамику заказов по месяцам и разбивку по регионам. Добавить эти виджеты?","export"
"можешь почему в последний виджет такие цифры, потом перечисли виджеты на дашборде плиз...","offer_dashboard","chat"
"срочносделай файл средний чек за этот год и загрузи топ 10 клиентов в эксель хорошо?.","","export"
"давай дай файл с астатки и всё )","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"Если можно, вверни как было ок?","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","dashboard"
"и сдеалй отчёт по годам в excel спасибо )","","export"
"мне нужно объедини картчки в один виджет спасибо...","Могу добавить фильтр по датам ко всем виджетам. Применить?","dashboard"
"продолжай","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","dashboard"
"повтори","Такой отчёт лучше открыть в Excel. Подготовить файл?","export"
"мне нужно выкинь диаграмму по менеджерам ок?.","","dashboard"
"нет, лучше выгрузи в pdf","Могу убрать виджеты, которые дублируют друг друга. Убрать?","export"
"надо выгрузи виджет «Глобальные агрегаты» в ворд, потом сохрани данные виджета «Выручка по месяцам»","","export"
"подожди","Хочешь, чтобы я подготовил эти данные файлом?","chat"
"ну убери дубли виджетов если мжоно","offer_question","dashboard"
"не стоит","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","chat"
"надо выгррузить возвраты в xls ок? )","Уточните, по всем регионам или только по одному?","export"
"можешь мне надо pdf с клиентов!","","export"
"а типерь","Хочешь, чтобы я подготовил SQL-запросы под твою схему и добавил эти виджеты в дашборд?","dashboard"
"Теперь выгрузи таблицу па поставщикам хорошо?","","export"
"Пожалуйста «Топ-10 клиентов по выручке» добавь ещё оборот для этого виджета если можно!!","Могу добавить фильтр по датам ко всем виджетам. Применить?","dashboard"
"Срочно загрузи заказы по сотрудникам за прошлый месяц в docx пожалуйста.","","export"
"окей","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","export"
"отлично","Хочешь, чтобы я подготовил SQL-запросы под твою схему и добавил эти виджеты в дашборд?","dashboard"
"годистя","Стоит перенести карточки наверх, а таблицу опустить вниз. Сделать так?","dashboard"
"пожалуйста поставь столбчатую диаграмму первым и всё )","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","dashboard"
"можешь отправь платежи в пдф ок?)","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","export"
"быстро выгрузиь клиентов за полугодие в pdf!","Могу убрать виджеты, которые дублируют друг друга. Убрать?","export"
"не сейчас","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","chat"
"Слушай, в формате csv выгрузи клиентов и всё.","Такой отчёт лучше открыть в Excel. Подготовить файл?","export"
"продолжай","Круговая диаграмма на 20 категориях нечитаема, лучше столбчатая. Поменять?","dashboard"
"мне нужна как улучшить дашборд?)","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","chat"
"и сохрани это в пдф спасибо.","","export"
"можешь перестрой всё заново заранее спасибо.","Всего в базе 122 клиента из 21 страны.","dashboard"
"а какие виджеты стоитт добавить по сотрудникам хорошо?","Считать выручку с учётом возвратов или без?","chat"
"чтопосоветуешь добавить?, а ещё расскажи про второй виджет спасибо...","","chat"
"Сформируй остатки за этот год, и дай рейтинг остатки в формате ворд)","Хочешь, чтобы я подготовил эти данные файлом?","export"
"переименуй виджет с картай можно?","Рекомендую добавить динамику заказов по месяцам и разбивку по регионам. Добавить эти виджеты?","dashboard"
"ну растут ли клиенты? а также расскажи про виджет со средним чеком можно?)","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","chat"
"ггодится","offer_none","chat"
"давай да","Готов построить дашборд с выручкой, заказами и топ-клиентами. Начинать?","dashboard"
"нужна снеси первый виджет, и объедини нижний виджет и пустой виджет хорошо?)","","dashboard"
"и атправь оборот в эксель","","export"
"нет, добавь вместо этого таблицу","Такой отчёт лучше открыть в Excel. Подготовить файл?","dashboard"
"ещё удали тепловую карту по годам срочно.","По каким клиентам показать: по всем или только активным?","dashboard"
"а теперь","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","export"
"Ну сформируй средний чек по сотрудникам в пф!","Могу перестроить дашборд под эти показатели. Сделать?","export"
"ну чта означает первый виджет, и есть ли у меня данные по странам? ок?!","","chat"
"ещё«Цена и расход по клиентам» добавь остатки в этот виджет плюс измени заголовок виджет с картой","offer_dashboard","dashboard"
"нужно хочу пдф с выручку по сотрудникам!!","Уточните, по всем регионам или только по одному?","export"
"покажи топ 10 товаров","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","chat"
"а в фармате docx выгрузи выручку","","export"
"аналогично","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","export"
"давай покажи на дашборде тепловую карту по возвраты срочно","","dashboard"
"теперь сделай файл с количеств озаказов по городам. и ещё дай ссылку на файл с количество заказов плиз)","Второй виджет показывает количество заказов по месяцам за последний год.","export"
"можешь что ещё можно добавить по продажам )","","chat"
"Можно сделай отчёт по клиентам в xls если можно","","export"
"и откуда данные ф виджете «Средний чек», также откуда данные в виджете «Динамика количества заказов» спасибо","Могу добавить динамику по месяцам и топ товаров. Добавить их на дашборд?","chat"
"а а если пасмотреть по странам? можно?!!","","chat"
"изагрузи оборот по регионам за последние 3 месяца в xls.","Могу перестроить дашборд под эти показатели. Сделать?","export"
"неверно","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","chat"
"маълумот дар бораи муштариён","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","chat"
"нет, лучше выгрузи в pdf","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","export"
"было бы отлично","Рекомендую добавить динамику заказов по месяцам и разбивку по регионам. Добавить эти виджеты?","dashboard"
"и а теперь ф docx если можно!!","","export"
"разверни нижний виджет горизонатльно пожалуйста.","","dashboard"
"Потом что озачает третий виджет","","chat"
"давай где просели платежи","За какой период вас интересуют данные?","chat"
"выгрузи заказы в excel","Второй виджет показывает количество заказов по месяцам за последний год.","export"
"продожи","Могу добавить фильтр по датам ко всем виджетам. Применить?","dashboard"
"выгрузи заказы в excel","offer_question","export"
"Можно есть ли у меня данные по клиентам? можно?","Хотите, я объединю карточки в один блок и уберу дубль?","chat"
"нужно хочу скачать платежи за прошлый месяц","Могу убрать виджеты, которые дублируют друг друга. Убрать?","export"
"Слушай, это точные данные? если можно...","Могу подготовить эти данные файлом — Excel или CSV. Выгрузить?","chat"
"ок","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","dashboard"
"можешьчто можно ещё добавить в дашборд?...","","chat"
"не понял","По этим данным хорошо ложится дашборд по клиентам и заказам. Собрать его?","chat"
"сделай docx","","export"
"авай да","Вам нужна разбивка по месяцам или по кварталам?","chat"
"удали второй виджет","Хотите, выгружу полный список файлом?","dashboard"
"не нужно","offer_export","chat"
"давай сделаем","Могу убрать виджеты, которые дублируют друг друга. Убрать?","dashboard"
"удали второй виджет","Такой отчёт лучше открыть в Excel. Подготовить файл?","dashboard"
"сохрани клиентов в csv","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","export"
"давай да","Данных о сотрудниках в подключённом источнике нет.","chat"
"сначала сделай выгрузку выручку а также загрузи остатки в csv и всё!!","","export"
"я не это имел в виду","offer_dashboard","chat"
"делай","Могу подготовить виджет с более длинной цепочкой этапов. Могу подготовить конфигурацию под ваш выбор.","dashboard"
"так же","Если хотите, добавлю фильтр по датам ко всем виджетам.","dashboard"
"добавь график по регионам","Дашборда пока нет. Могу собрать аналитику по продажам. Построить?","dashboard"
"то же самое","Стоит перенести карточки наверх, а таблицу опустить вниз. Сделать так?","dashboard"
"ещё измени заголовок виджет с картой можно?","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","dashboard"
"и это тоже","Хотите, выгружу полный список файлом?","export"
"оке","За какой период вас интересуют данные?","chat"
"ну сделай выгрузку клиентов )","","export"
"сначалавыгрузить продажи, и то же самое в docx.","Данных о сотрудниках в подключённом источнике нет.","export"
"ненужно","Всего в базе 122 клиента из 21 страны.","chat"
"годится","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","dashboard"
"будь добр почему ф второй виджет такие цифры плиз","Выручка за 2024 год составила 3,8 млн — на 12% больше прошлого года.","chat"
"Мне нужен pdf для отчёта если можно","","export"
"ну и ещё воронку спасибо","","dashboard"
"нада перенеси второй виджет вниз если можно)","Могу сохранить результат в PDF, чтобы отправить руководителю. Сформировать?","dashboard"
"не тоит","Готово, файл с выгрузкой можно скачать по ссылке выше.","chat"
"сначала выгрузи средний чек в word)","","export"
"нужо дай ссылку на файл с средний чек плиз.","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","export"
"давай сравни последний виджет и виджет со средним чеком спасибо.","Всего в базе 122 клиента из 21 страны.","chat"
"можешь в формате pdf выгрузи выручку, и клиеентов по поставщикам в формате csv","Данных о сотрудниках в подключённом источнике нет.","export"
"пожалуйста сделай полную аналитику по всем параметрам заранее спасибо )","","dashboard"
"запускай","offer_question","chat"
"Ещё верни как было заранеее спасибо...","Вам нужна разбивка по месяцам или по кварталам?","dashboard"
"не надо","Могу убрать виджеты, которые дублируют друг друга. Убрать?","chat"
"потом убери дубли виджетов а также удали перед последний виджет спасибо","","dashboard"
"ну что лишнее на дашборде)","","chat"
"Какой тип графика лучше для платежи? плиз","Такой объём удобнее открыть в таблице — могу сделать выгрузку.","chat"
"не то","Хотите, я объединю карточки в один блок и уберу дубль?","chat"
"а кто ты такой если можно","","chat"
"сначала выведи обороот по странам на дашборд если можно","","dashboard"
