transaction_id,transaction_date,transaction_time,store_id,store_location,product_id,product_category,product_type,product_detail,unit_price,quantity,total_amount,payment_method,customer_id
139,2025-01-06,11:43:50,2,Riverside Mall,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Cash,1089
140,2025-01-06,13:37:09,4,Airport Terminal 2,108,Coffee,Cold Brew,Cold Brew - Large,4.45,1,4.45,Credit Card,1326
141,2025-01-06,17:29:57,3,Uptown,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Cash,1279
142,2025-01-06,19:19:40,4,Airport Terminal 2,112,Bakery,Croissant,Butter Croissant,3.25,4,13.0,Credit Card,1353
143,2025-01-06,19:54:30,3,Uptown,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,1,3.95,Credit Card,1195
144,2025-01-06,19:18:01,5,Lakeside Plaza,110,Tea,Brewed Tea,Earl Grey,2.75,4,11.0,Credit Card,1337
145,2025-01-06,17:47:31,1,Downtown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,2,5.9,Mobile Pay,1146
146,2025-01-06,09:12:39,2,Riverside Mall,112,Bakery,Croissant,Butter Croissant,3.25,1,3.25,Credit Card,1386
147,2025-01-06,17:41:02,2,Riverside Mall,104,Coffee,Latte,Latte - Regular,3.75,1,3.75,Cash,1225
148,2025-01-06,07:18:20,3,Uptown,105,Coffee,Latte,Latte - Large,4.25,2,8.5,Credit Card,1089
149,2025-01-06,13:58:17,5,Lakeside Plaza,112,Bakery,Croissant,Butter Croissant,3.25,2,6.5,Mobile Pay,1131
150,2025-01-06,15:21:51,4,Airport Terminal 2,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Cash,1038
151,2025-01-06,18:51:35,2,Riverside Mall,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Credit Card,1404
152,2025-01-06,08:23:43,3,Uptown,118,Merchandise,Mug,Branded Ceramic Mug,9.99,2,19.98,Credit Card,1134
153,2025-01-06,15:30:01,3,Uptown,104,Coffee,Latte,Latte - Regular,3.75,2,7.5,Credit Card,1287
154,2025-01-07,14:29:58,2,Riverside Mall,103,Coffee,Espresso,Espresso Shot,2.2,2,4.4,Credit Card,1332
155,2025-01-07,18:19:31,2,Riverside Mall,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Mobile Pay,1120
156,2025-01-07,12:42:47,2,Riverside Mall,113,Bakery,Muffin,Blueberry Muffin,3.1,2,6.2,Credit Card,1276
157,2025-01-07,14:53:31,2,Riverside Mall,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,2,6.8,Cash,1143
158,2025-01-07,12:15:54,3,Uptown,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,1,3.95,Credit Card,1351
159,2025-01-07,11:12:07,3,Uptown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,3,8.85,Credit Card,1421
160,2025-01-07,07:21:15,2,Riverside Mall,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,4,10.0,Credit Card,1402
161,2025-01-07,08:13:52,1,Downtown,118,Merchandise,Mug,Branded Ceramic Mug,9.99,3,29.97,Mobile Pay,1168
162,2025-01-07,09:09:08,5,Lakeside Plaza,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Cash,1408
163,2025-01-07,06:50:50,1,Downtown,105,Coffee,Latte,Latte - Large,4.25,1,4.25,Cash,1165
164,2025-01-07,08:26:33,3,Uptown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Credit Card,1032
165,2025-01-07,14:28:32,3,Uptown,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Cash,1314
166,2025-01-07,12:01:03,5,Lakeside Plaza,110,Tea,Brewed Tea,Earl Grey,2.75,4,11.0,Credit Card,1433
167,2025-01-07,15:28:04,1,Downtown,116,Pastry,Scone,Cranberry Scone,2.95,3,8.85,Credit Card,1164
168,2025-01-07,09:40:37,1,Downtown,105,Coffee,Latte,Latte - Large,4.25,1,4.25,Credit Card,1166
169,2025-01-07,09:32:38,5,Lakeside Plaza,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Credit Card,1406
170,2025-01-07,12:56:14,5,Lakeside Plaza,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,1,3.95,Credit Card,1423
171,2025-01-07,10:20:42,4,Airport Terminal 2,104,Coffee,Latte,Latte - Regular,3.75,1,3.75,Credit Card,1078
172,2025-01-07,07:05:05,4,Airport Terminal 2,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Credit Card,1381
173,2025-01-07,07:35:35,2,Riverside Mall,118,Merchandise,Mug,Branded Ceramic Mug,9.99,1,9.99,Credit Card,1062
174,2025-01-07,18:38:19,4,Airport Terminal 2,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Credit Card,1295
175,2025-01-07,09:06:22,2,Riverside Mall,116,Pastry,Scone,Cranberry Scone,2.95,2,5.9,Cash,1188
176,2025-01-07,16:54:35,3,Uptown,108,Coffee,Cold Brew,Cold Brew - Large,4.45,4,17.8,Credit Card,1419
177,2025-01-07,14:42:53,5,Lakeside Plaza,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,2,5.0,Cash,1014
178,2025-01-07,10:11:55,3,Uptown,111,Tea,Chai,Chai Latte - Regular,3.85,1,3.85,Credit Card,1336
179,2025-01-07,07:33:13,2,Riverside Mall,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Credit Card,1232
180,2025-01-07,15:49:36,3,Uptown,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Cash,1026
181,2025-01-08,15:17:28,5,Lakeside Plaza,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,2,5.9,Credit Card,1248
182,2025-01-08,09:32:07,4,Airport Terminal 2,109,Tea,Brewed Tea,Green Tea,2.75,1,2.75,Credit Card,1056
183,2025-01-08,13:19:02,5,Lakeside Plaza,116,Pastry,Scone,Cranberry Scone,2.95,1,2.95,Cash,1306
184,2025-01-08,18:49:08,2,Riverside Mall,110,Tea,Brewed Tea,Earl Grey,2.75,2,5.5,Credit Card,1148
185,2025-01-08,15:11:08,1,Downtown,116,Pastry,Scone,Cranberry Scone,2.95,1,2.95,Credit Card,1360
186,2025-01-08,07:55:47,5,Lakeside Plaza,112,Bakery,Croissant,Butter Croissant,3.25,1,3.25,Credit Card,1009
187,2025-01-08,14:36:25,1,Downtown,111,Tea,Chai,Chai Latte - Regular,3.85,2,7.7,Credit Card,1213
188,2025-01-08,18:10:51,4,Airport Terminal 2,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,3,7.5,Mobile Pay,1235
189,2025-01-08,12:06:15,3,Uptown,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Credit Card,1205
190,2025-01-08,15:14:21,4,Airport Terminal 2,110,Tea,Brewed Tea,Earl Grey,2.75,2,5.5,Credit Card,1039
191,2025-01-08,13:57:49,1,Downtown,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Mobile Pay,1372
192,2025-01-08,08:16:12,2,Riverside Mall,108,Coffee,Cold Brew,Cold Brew - Large,4.45,1,4.45,Mobile Pay,1078
193,2025-01-08,18:40:31,1,Downtown,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,1,3.65,Mobile Pay,1288
194,2025-01-08,16:40:20,4,Airport Terminal 2,111,Tea,Chai,Chai Latte - Regular,3.85,1,3.85,Credit Card,1034
195,2025-01-08,14:22:32,3,Uptown,109,Tea,Brewed Tea,Green Tea,2.75,1,2.75,Credit Card,1236
196,2025-01-08,16:04:41,1,Downtown,112,Bakery,Croissant,Butter Croissant,3.25,3,9.75,Cash,1437
197,2025-01-08,11:37:35,5,Lakeside Plaza,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,4,50.0,Mobile Pay,1378
198,2025-01-08,10:30:32,4,Airport Terminal 2,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,1,3.95,Credit Card,1031
199,2025-01-08,13:11:02,3,Uptown,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Mobile Pay,1224
200,2025-01-08,14:23:23,5,Lakeside Plaza,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,3,37.5,Credit Card,1198
201,2025-01-08,16:41:21,3,Uptown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Credit Card,1048
202,2025-01-08,09:54:42,4,Airport Terminal 2,110,Tea,Brewed Tea,Earl Grey,2.75,4,11.0,Mobile Pay,1308
203,2025-01-08,14:09:58,3,Uptown,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Credit Card,1335
204,2025-01-08,14:05:19,4,Airport Terminal 2,105,Coffee,Latte,Latte - Large,4.25,1,4.25,Mobile Pay,1329
205,2025-01-08,07:42:27,2,Riverside Mall,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Credit Card,1009
